City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,puerto baquerizo moreno,-0.9,-89.6,30.55,66,20,5.14,EC,1713210008
84,longyearbyen,78.2186,15.6401,-15.09,66,40,5.14,SJ,1713210101
85,iskateley,67.6803,53.1512,0.01,100,100,4.02,RU,1713210101
86,oran,35.6911,-0.6417,19.96,55,0,5.14,DZ,1713210101
87,longjing,42.7714,129.4233,11.9,80,100,1.59,CN,1713210102
88,blackmans bay,-43.0167,147.3167,10.85,81,79,1.24,AU,1713209984
89,swift current,50.2834,-107.8014,20.45,26,0,6.69,CA,1713210102
90,san ignacio,17.1561,-89.0714,35.08,43,40,4.12,BZ,1713210102
91,minas de marcona,-15.2119,-75.1103,18.21,81,87,8.2,PE,1713210102
92,taguatinga,-12.3857,-46.5711,32.02,48,40,1.02,BR,1713210102
93,broken hill,-31.95,141.4333,15.23,39,1,3.23,AU,1713210102
94,kabare,-2.4683,28.8242,16.68,95,92,0.92,CD,1713210103
95,chonchi,-42.6128,-73.8092,16.73,68,38,2.93,CL,1713210103
96,ebon,4.582,168.6964,27.85,80,40,3.74,MH,1713210103
97,rongelap,11.1635,166.8941,27.23,81,40,8.05,MH,1713210103
98,hasaki,35.7333,140.8333,13.22,77,100,5.75,JP,1713209983
99,luderitz,-26.6481,15.1594,14.87,78,0,2.97,NA,1713210103
100,mooroopna,-36.4,145.35,10.69,77,3,2.64,AU,1713210104
101,puerto natales,-51.7236,-72.4875,16.25,59,0,2.06,CL,1713209880
102,afaahiti,-17.75,-149.2833,27.93,87,100,8.16,PF,1713210104
103,ubari,26.5921,12.7805,25.75,19,32,7.35,LY,1713210104
104,kaohsiung,22.6163,120.3133,26.13,88,20,1.54,TW,1713210104
105,puerto ayora,-0.7393,-90.3518,30.98,93,88,2.68,EC,1713210104
106,touros,-5.1989,-35.4608,28.37,78,15,5.27,BR,1713210104
107,muncar,-8.4333,114.3333,24.51,94,61,0.92,ID,1713210104
108,port mathurin,-19.6833,63.4167,26.81,79,70,6.73,MU,1713210105
109,porto novo,6.4965,2.6036,29.9,78,92,2.99,BJ,1713210105
110,port shepstone,-30.7414,30.455,21.49,88,100,6.44,ZA,1713210105
111,port macquarie,-31.4333,152.9167,17.16,76,100,1.44,AU,1713209895
112,san julian,21.0167,-102.1667,31.35,14,100,3.39,MX,1713210105
113,udachny,66.4167,112.4,-8.64,96,97,2.59,RU,1713210105
114,pelabuhanratu,-6.9875,106.5514,26.43,88,33,1.45,ID,1713210105
115,constantia,44.1833,28.65,18.38,67,100,5.57,RO,1713210105
116,sandnessjoen,66.0217,12.6316,2.06,64,20,3.6,NO,1713210106
117,nikolayevsk-on-amure,53.1406,140.73,5.12,93,100,2.24,RU,1713210106
118,faya-largeau,17.9257,19.1043,31.84,9,72,5.53,TD,1713210106
119,aral,40.5156,81.2636,17.74,13,59,3.05,CN,1713210106
120,leua,48.2156,18.6071,11.83,94,100,1.54,SK,1713210106
121,sao geraldo do araguaia,-6.4006,-48.555,27.9,91,100,1.33,BR,1713210106
122,christchurch,-43.5333,172.6333,9.15,93,100,1.03,NZ,1713210037
123,manokwari,-0.8667,134.0833,25.78,85,100,2.64,ID,1713210106
124,al muwayh,22.4333,41.7583,20.51,44,4,8.78,SA,1713210106
125,carentan,49.3031,-1.2481,9.82,69,87,8.01,FR,1713210106
126,gadzhiyevo,69.2551,33.3362,-2.47,87,100,9.82,RU,1713210106
127,salalah,17.0151,54.0924,29.05,74,75,5.14,OM,1713210107
128,fale old settlement,-9.3852,-171.2468,26.87,85,100,3.57,TK,1713210107
129,yen vinh,18.6667,105.6667,24.5,94,0,0.89,VN,1713210107
130,boda,4.3189,17.4695,28.77,46,69,1.21,CF,1713210107
131,georgetown,5.4112,100.3354,28.96,83,20,1.54,MY,1713209811
132,bardai,11.65,7.2333,30.99,18,100,3.74,NG,1713210107
133,cabo san lucas,22.8909,-109.9124,28.67,57,20,4.47,MX,1713210107
134,flying fish cove,-10.4217,105.6791,26.82,83,40,5.66,CX,1713210107
135,port blair,11.6667,92.75,28.02,89,20,1.03,IN,1713209818
136,yass,-34.8333,148.9167,6.68,84,6,1.2,AU,1713210108
137,boulazac,45.1167,0.75,11.84,69,77,4.71,FR,1713210108
138,tazovsky,67.4667,78.7,-23.1,98,74,2.86,RU,1713210108
139,ilulissat,69.2167,-51.1,-6.99,58,20,2.57,GL,1713210108
140,siocon,7.7061,122.1353,26.55,84,100,3.28,PH,1713210108
141,conceicao da barra,-18.5933,-39.7322,25.99,76,29,3.32,BR,1713210108
142,newman,37.3138,-121.0208,17.38,69,100,3.58,US,1713210108
143,egletons,45.4034,2.0507,8.96,90,85,4.18,FR,1713210108
144,fortuna,40.5982,-124.1573,14.96,75,100,4.63,US,1713210108
145,nizhnyaya salda,58.0776,60.7202,2.54,74,58,4.09,RU,1713210108
146,xankandi,39.8177,46.7528,8.72,89,9,2.66,AZ,1713210109
147,marion,39.7684,-86.1555,28.91,48,20,2.57,US,1713210109
148,longquan,24.6719,102.1613,16.57,51,0,2.29,CN,1713210109
149,johi,26.6921,67.6133,29.6,43,100,4.79,PK,1713210109
150,karratha,-20.7377,116.8463,26.51,69,0,4.44,AU,1713210109
151,alofi,-19.0595,-169.9187,25.94,94,98,2.57,NU,1713210110
152,ribeira grande,38.5167,-28.7,19.22,82,40,6.17,PT,1713210110
153,qaqortoq,60.7167,-46.0333,1.44,99,100,3.07,GL,1713209937
154,opuwo,-18.0607,13.84,25.16,40,54,2.92,NA,1713210110
155,correntina,-13.3433,-44.6367,26.22,62,100,3.25,BR,1713210110
156,hermanus,-34.4187,19.2345,18.22,93,2,4.32,ZA,1713210110
